"Planet_number";"P_name";"star_idx";"Mass";"RELATIVE DENSITY";"RADIUS";"terrain type";"TYPE OF CLIMATE"
19;"Darkonix Asclepian";6370;6,22;1,719;1,54;"acid pool:savanna:canyons:cityscape:ocean:valley";"temperate:frigid:superheated:frozen:artificial temperate:subartic:humid"
20;"Taiyangshou Octal";6539;6,41;1,074;1,81;"rock arche:fungus forest";"humid:tropical:subartic:arid"
21;"Taiyangshou Tertial";6539;3,13;0,797;1,58;"sea";"artic:subartic:hot:frozen:rocky:superheated"
22;"Algenib Octal";2519;5,22;1,062;1,7;"bog";"frozen:subartic:rocky:artificial temperate:windy:temperate"
23;"Algenib Septimal";2519;8,68;0,823;2,19;"plain:canyons:rocky desert:cave:lakes";"rocky:tropical:subartic:humid:windy:frozen:arid"
24;"Algenib Secant";2519;6,86;0,9;1,97;"desert";"rocky"
25;"Algenib Duodecimal";2519;2,35;0,746;1,47;"sinkholes:volcano:plain:cityscape";"frigid:arid:hot:subartic"
26;"Imai Delta";8649;0,81;0,997;0,93;"field:rock arche:forest";"temperate:subartic:frigid:artificial temperate:superheated:frozen"
27;"Imai Sigma";8649;1,01;0,865;1,05;"savanna:rocky desert";"superheated:subartic:frozen:artic:frigid"
28;"Imai Theta";8649;4,57;0,767;1,81;"jungle";"humid:tropical"
29;"Ebon Depths Dionysios";123;5,7;0,854;1,88;"valley:mountain";"windy:tropical"
30;"Ebon Depths Asclepian";123;2,61;0,805;1,48;"mountain:river:acid pool:lakes";"hot:arid:tropical:humid:artificial temperate:temperate"
31;"Stribor Sigma";1160;3,06;1,222;1,36;"toxic cloudsea:plateau";"frigid:temperate:tropical:rocky:frozen"
32;"Wyrmslayer Atlasios";3936;5,8;0,623;2,1;"rainforest:mountain:rocky island:glacier";"frozen:tropical:humid:windy"
33;"Fang Olympios";6678;1,26;1,426;0,96;"grassy hill:glacier:plateau:field:verdant";"tropical:artificial temperate:frozen"
34;"Nyxian Whispers XIX";6123;3,81;0,832;1,66;"reef:ash:valley:field:city";"artic:hot:humid:superheated"
35;"Celestial Cascade XIII";5995;3,64;1,351;1,39;"acid pool:reef:ice cave";"hot:frozen:windy:rocky:artic"
36;"Celestial Cascade XVII";5995;1,33;0,81;1,18;"cliff:tundra:mountain:verdant:scrubland";"artic:temperate:arid"
37;"Celestial Cascade XVIII";5995;1,62;0,781;1,28;"river:valley:plain:plateau:jungle:rocky canyon:canyons";"temperate:rocky:humid:tropical:windy:arid"
38;"Mahasim XXI";9129;3,33;0,551;1,82;"jungle";"arid:tropical:temperate:humid:hot"
39;"Mahasim II";9129;1,48;1,009;1,14;"plateau:island";"artificial temperate"
40;"Mahasim XIV";9129;8,73;1,339;1,87;"verdant:plain:field:canyons";"superheated:artic:hot"
41;"Mahasim XXIII";9129;2,47;1,03;1,34;"verdant:barren:volcano:vine:glacier:forest:rocky canyon:plain";"arid:superheated:artic:tropical:humid:artificial temperate"
42;"Edasich Quartal";8429;4,86;1,247;1,57;"rocky desert:urban:grassland:ash:rocky canyon:cave";"arid:hot:humid:artificial temperate"
43;"Edasich Vigesimal";8429;1,34;1,449;0,97;"sinkholes:reef:desert:savanna";"frozen:frigid:temperate:windy:artificial temperate:hot:superheated"
44;"Ninja's Radiance Sigma";1229;3,69;1,326;1,41;"desert:savanna:glacier";"superheated:frozen"
45;"Quantum Quasar Decimal";3025;3,02;0,952;1,47;"vine";"rocky:frigid"
46;"Quantum Quasar Septimal";3025;2,33;1,406;1,18;"ocean:cave:toxic cloudsea:forest";"superheated:artic:temperate:arid"
47;"Quantum Quasar Sextant";3025;2,75;0,658;1,61;"fungus forest";"tropical:temperate:humid:windy:hot"
48;"Quantum Quasar Octal";3025;1,05;1,185;0,96;"canyons:plateau:desert:rocky island:bog";"artic:artificial temperate:rocky:humid"
49;"Astral Echo Nereidos";7763;2,74;0,783;1,52;"vine:ocean:sinkholes";"subartic:arid:hot:temperate:artic:artificial temperate"
50;"Sāmaya Yi";5704;1,91;0,767;1,36;"ice cave:lakes:vine:rock arche:island:rocky island:acid pool";"frozen:windy:humid:artificial temperate:artic:subartic"
51;"Cosmaronix Poseidian";8660;2,93;0,568;1,73;"desert:jungle:urban:island:tundra:volcano:grassy hill:rock arche:glacier";"tropical:humid:frigid:frozen:artificial temperate:hot"
52;"Caph Shi";9571;4,25;1,078;1,58;"plateau:ocean";"artificial temperate:arid:superheated:rocky:windy:subartic:artic"
53;"Caph Qi";9571;0,91;1,089;0,94;"sea:plain:cityscape:tundra:ocean:forest:lakes:jungle:grassy hill:city:swamp";"arid:frigid:temperate:rocky:tropical:superheated:humid"
54;"Caph Jiu";9571;2,11;1,117;xx;"cityscape:grassy hill";"humid"
55;"Whalebone Sextant";8519;2,28;0,735;1,46;"rock arche:cityscape:river";"subartic:frozen"
56;"Mönch Hestian";5134;6,27;1,137;1,77;"rock arche:cliff";"arid:artificial temperate:frigid:humid"
57;"Mönch Gaian";5134;6,18;1,371;1,65;"plain:sea";"artic:windy:superheated:hot"
58;"Mönch Herculean";5134;4,11;1,377;1,44;"desert:field:rocky canyon";"rocky:frozen:superheated:tropical"
59;"Sirius Nymphios";1244;3,18;0,856;1,55;"reef:cave:forest:ash:ocean:valley:sinkholes:ice canyon:savanna";"artificial temperate:artic:humid:temperate:hot:superheated"
60;"Nebulium VII";7236;1,12;0,607;1,23;"cityscape:acid pool";"frigid:humid:windy"
61;"Nebulium XVIII";7236;1,61;1,03;1,16;"plain:valley:urban:rock arche";"rocky:tropical:artic"
62;"Nebulium XVI";7236;0,45;0,434;1,01;"canyons:savanna";"rocky"
63;"Nebulium I";7236;4,16;1,051;1,58;"plateau";"frigid:humid:temperate"
64;"Kaze Celestial XVIII";9994;0,69;0,854;0,93;"forest:cave:savanna:city:toxic cloudsea:field";"windy:artic:hot:temperate:tropical"
65;"Kaze Celestial XX";9994;1,57;0,823;1,24;"toxic cloudsea:valley:rocky canyon:fungus forest:jungle:mountain";"humid:frozen:frigid:arid"
66;"Kaze Celestial XXI";9994;0,92;1,02;0,97;"rock arche:toxic cloudsea:verdant";"frozen:subartic:windy"
67;"Kaze Celestial VIII";9994;2,9;0,877;1,49;"hill:volcano:ice canyon";"temperate:humid:arid:tropical:artic:rocky:windy"
68;"Sika Asclepian";9612;5,35;0,705;1,97;"canyons:cave:cliff:sea";"hot:subartic:rocky"
69;"Chaophraya VIII";248;5,61;0,716;1,99;"canyons:jungle:forest:island:swamp";"artic:tropical:rocky:windy"
70;"Chaophraya I";248;0,83;1,102;0,91;"sea";"tropical:temperate:superheated"
71;"Chaophraya XII";248;0,66;0,521;1,08;"savanna";"artic:frigid:rocky"
72;"Chaophraya XXI";248;7,83;1,154;1,89;"glacier:vine";"frozen:temperate:hot:subartic"
73;"Kang Faunios";1169;7,7;1,172;1,87;"city";"temperate:frigid"
74;"Cleopatra's Expanse Septimal";6474;0,61;0,626;0,99;"field:acid pool";"tropical:temperate:superheated:subartic"
75;"Cleopatra's Expanse Vigesimal";6474;5,19;1,559;1,49;"plain:valley";"superheated"
76;"Cleopatra's Expanse Duodecimal";6474;0,91;1,09;0,94;"rocky desert:forest:sinkholes:glacier:rock arche:desert";"hot:arid:rocky:artificial temperate:artic:subartic:frigid"
77;"Alya Titanos";7204;0,89;1,32;0,88;"rainforest:desert:swamp:ice cave:ice canyon:urban:lava river";"tropical:windy:rocky:arid:humid:artic:temperate"
78;"Alya Nereidos";7204;0,52;1,148;0,77;"vine:cave:savanna:sea:mountain:verdant";"temperate:frozen:artic:frigid:rocky"
79;"Sylvarix Quintal";5417;5,98;0,951;1,85;"valley:verdant:cliff:lakes:ice cave";"frigid:artificial temperate:subartic"
80;"Sylvarix Quartal";5417;4,08;0,688;1,81;"canyons:swamp:lakes:rock arche:sea";"humid:hot:superheated:temperate"
81;"Celestial Serenity Yi";148;1,91;0,812;1,33;"mountain:bog";"tropical:superheated:windy:rocky:subartic:arid"
82;"Celestial Serenity Qi";148;2,06;1,363;1,15;"volcano:savanna:barren:rock arche";"arid:frozen:subartic:windy"
83;"Mebsuta San";5171;1,59;1,8;0,96;"cityscape:rocky island:plain:grassy hill:field";"hot:rocky:artificial temperate:artic:arid:temperate"
84;"Mebsuta Yi";5171;5,15;1,41;1,54;"forest";"frozen:subartic:frigid:humid:tropical"
85;"Cosmoflare IX";1452;3,02;0,771;1,58;"forest:vine:verdant:jungle:city";"tropical:windy:humid:artificial temperate"
86;"Alphecca San";9266;3,74;0,935;1,59;"scrubland:cliff:cityscape";"arid:superheated"
87;"Alphecca Jiu";9266;0,76;0,942;0,93;"rocky island:jungle";"humid:hot:temperate"
88;"Alphecca Qi";9266;1,96;0,673;1,43;"jungle";"tropical:artic:frozen:humid"
89;"Astrophia Cerberian";4315;5,32;1,184;xx;"ocean";"windy:artificial temperate"
90;"Azelfafage Er";7149;3,49;1,556;1,31;"forest:sea:hill:lava river:ash:glacier";"humid:superheated:frozen:arid"
91;"Azelfafage Shi";7149;2,3;1,002;1,32;"ice canyon:verdant:plain:cityscape:ice cave:volcano:cliff";"frigid:arid:rocky:subartic:superheated"
92;"Kochab Tertial";6006;6,46;0,932;1,91;"glacier";"rocky:artic"
93;"Kochab Octal";6006;4,15;1,009;1,6;"swamp:sinkholes:forest:river:field:lava river:canyons:plateau";"arid:tropical:hot:superheated:windy:rocky"
94;"Moldoveanu Beta";8344;3,72;0,713;1,73;"ocean:plain:grassland:ice canyon";"humid:frozen:frigid"
95;"Tuiren Pantheon";2182;3,29;1,151;1,42;"rock arche:plain";"frigid"
96;"Nushagak Ba";4656;5,94;1,198;1,71;"toxic cloudsea:forest:rocky canyon";"frozen:temperate:subartic"
97;"Geisha's Echo Gaios";6889;7,7;1,079;1,93;"jungle:grassland";"windy:hot:arid:artificial temperate:frozen:temperate"
98;"Geisha's Echo Psychean";6889;3,66;0,995;1,54;"swamp:grassy hill:verdant:cliff:mountain:ice cave";"windy:subartic:humid:artic:tropical"
99;"Ceibo Hermesios";9514;5,74;1,174;1,7;"acid pool:hill:plain:ash:lakes:rock arche";"artificial temperate:arid:tropical:hot"
100;"Cleopatra's Resonance Quartal";4577;3,75;0,932;1,59;"jungle:urban:ice canyon";"artic:humid:rocky"
101;"Cleopatra's Resonance Tertial";4577;1,53;xx;1,06;"sea:hill:sinkholes:verdant:desert";"superheated:temperate:rocky:arid:artificial temperate"
102;"Fuji Nebula Yi";6304;7,55;1,227;1,83;"savanna:valley";"windy:superheated:subartic"
103;"Castula Quintal";9783;6,16;1,257;1,7;"ice canyon:sea";"arid:frigid:rocky:artificial temperate"
104;"Castula Quartal";9783;1,43;0,722;1,26;"ice cave:valley";"frozen:artic:windy"
105;"Castula Nonal";9783;5,89;0,649;2,09;"cityscape:desert:reef:mountain:rocky canyon:cave";"humid:temperate:rocky:arid"
106;"Inazuma Shadows Demetrian";8296;6,31;0,794;2;"forest";"superheated:windy:humid:frozen"
107;"Alkalurops Jiu";6898;5,89;1,105;1,75;"plateau";"tropical:rocky:arid:windy:hot"
108;"Cassionix Iota";2323;5,52;1,15;1,69;"cave:ice canyon:swamp";"tropical:temperate:windy:humid:subartic"
109;"Cassionix Xi";2323;5,24;0,9;1,8;"reef:cliff";"temperate:windy:arid:artificial temperate:artic"
110;"Cassionix Upsilon";2323;6,8;1,32;1,73;"urban";"rocky:temperate:tropical"
111;"Shinju Upsilon";7194;0,86;1,219;0,89;"ash:rocky canyon:glacier:verdant:river";"temperate:artic:humid:hot:arid:superheated"
112;"Stormcaller Er";4070;7,84;0,695;2,24;"cityscape:reef";"frigid"
113;"Stormcaller Wu";4070;1,65;0,672;1,35;"grassland:jungle";"humid"
114;"Atria Psychean";607;1,66;1,064;1,16;"valley:ice canyon";"temperate:frigid"
115;"Stellaria Crypt Liu";5175;3,49;0,778;1,65;"glacier:forest:jungle:savanna:rocky canyon";"tropical:superheated:humid:frozen"
116;"Stellaria Crypt Jiu";5175;3,56;0,901;1,58;"reef:acid pool:swamp:mountain";"artificial temperate:humid:frozen:frigid"
117;"Isis' Celestial Xi";2303;1,17;1,141;1,01;"sinkholes:mountain:bog:cliff:jungle";"rocky:arid:hot"
118;"Mago Xi";7736;0,73;1,171;0,85;"forest:hill:ice canyon:volcano:glacier:fungus forest:city:acid pool:bog";"arid:artic:rocky:frozen:tropical:subartic"
119;"Eternal Murmurs Pegasusian";7549;7,09;0,634;2,24;"grassy hill";"subartic:artificial temperate:rocky"
120;"Kamikaze Resonance XVIII";1442;3,17;0,578;1,76;"savanna";"frozen:tropical:temperate"
121;"Felis VII";4381;1,39;1,01;1,11;"grassy hill";"hot:humid:tropical:frigid:artic"
122;"Ra's Ascendance XVIII";8116;1,12;0,931;1,06;"island:ice canyon";"frigid:windy:rocky:artic"
123;"Vortexith Typhonian";5979;5,45;0,607;2,08;"cityscape:verdant:savanna:tundra:ocean";"rocky:superheated:hot"
124;"Vortexith Gaian";5979;6,57;0,887;1,95;"canyons";"temperate:frozen:artificial temperate:artic:windy:tropical"
125;"Vortexith Athenian";5979;1,58;1,252;1,08;"bog:island:grassland";"rocky:superheated:windy:tropical:humid"
126;"Vortexith Echoian";5979;0,62;0,719;0,95;"cityscape:verdant:jungle";"temperate:windy:humid:tropical:frigid:frozen"
127;"Rotanev Gaios";1805;1,97;xx;1,23;"ocean:plain:river:field:desert";"temperate:hot:arid:windy:superheated:subartic:tropical"
128;"Vortexara XXIII";7795;1,78;0,829;1,29;"barren:vine";"frozen:humid:arid"
129;"Vortexara I";7795;2,99;0,782;1,56;"fungus forest:urban:sinkholes";"temperate:frigid:arid:superheated:humid:hot"
130;"Adhil Septimal";9688;4,55;1,328;1,51;"valley:plain:scrubland:sinkholes";"arid:subartic:tropical:hot:rocky:superheated"
131;"Adhil Secant";9688;3,07;0,922;1,49;"barren:mountain";"windy:arid:superheated:frigid"
132;"Adhil Nonal";9688;2,28;1,298;1,21;"rocky island:valley:tundra:lakes:island:mountain:cliff";"subartic:frigid:artic:temperate:frozen"
133;"Barnard's Star Typhonian";9880;2,7;0,657;1,6;"sinkholes:jungle:rocky island:urban";"superheated:subartic:tropical:windy:artificial temperate"
134;"Barnard's Star Orphean";9880;8,39;0,887;2,11;"fungus forest:reef";"hot:frozen:humid:subartic"
135;"Anser Sextant";5897;1,71;0,64;1,39;"rock arche:cave";"superheated"
136;"Anser Prime";5897;5,24;1,297;1,59;"island:mountain:cityscape:grassland:cliff";"temperate:artic:frozen"
137;"Anser Decimal";5897;1,87;0,825;1,31;"ice canyon:island:mountain";"frigid:artificial temperate:frozen"
138;"Helionis Decimal";8990;2,75;1,166;1,33;"grassy hill";"temperate:subartic"
139;"Helionis Nonal";8990;3,67;0,819;1,65;"tundra:ocean:rocky island:cliff:cityscape:fungus forest:rocky desert:reef:river";"frozen:artificial temperate:windy:frigid:arid:hot:rocky"
140;"Helionis Septimal";8990;1,38;1,291;1,02;"lakes:plateau:bog";"artificial temperate:artic:windy:rocky:humid"
141;"Helionis Secant";8990;4,95;0,96;1,73;"city:forest:jungle:sinkholes";"hot:tropical:temperate"
142;"Syrma Ba";6571;4,91;0,372;2,36;"rock arche:hill:cave:reef:grassy hill:jungle";"hot:windy:temperate:artificial temperate:superheated"
143;"Syrma San";6571;2,49;1,2;1,28;"jungle:ocean:jungle:ash:grassy hill";"tropical:arid:humid:hot"
144;"Hathor's Labyrinth Demetrian";4741;1,82;xx;1,12;"jungle:savanna:hill:sinkholes:reef:scrubland:ocean";"arid:humid:superheated:frozen:artic"
145;"Caelus Cipher Undecimal";6140;0,48;1,251;0,73;"acid pool:urban:jungle:sinkholes";"superheated:windy:subartic:frigid:arid:tropical"
146;"Caelus Cipher Tertial";6140;2,64;1,189;xx;"city:river:desert:urban:mountain:field:ocean";"subartic:humid:artic:superheated:rocky"
147;"Caelus Cipher Quintal";6140;6,56;1,327;1,7;"toxic cloudsea:ice cave:grassy hill";"subartic:temperate:tropical:artificial temperate:artic:frozen"
148;"Caelus Cipher Octal";6140;8,06;0,942;2,05;"valley";"humid:hot:subartic:frozen:arid"
149;"Radiantara Aphroditos";2251;1,52;0,908;1,19;"reef:jungle:cityscape:tundra:lakes";"subartic:tropical:artificial temperate:artic"
150;"Radiantara Poseidian";2251;4,62;1,17;xx;"verdant:jungle";"arid:tropical"
151;"Radiantara Hadean";2251;5,57;0,936;1,81;"rocky island:field";"humid:windy"
152;"Nekkar Phi";9764;9,39;0,922;2,17;"rocky island:savanna:lakes:cityscape";"tropical:humid:windy:subartic"
153;"Astral Whisper Liu";3462;0,46;1,05;0,76;"ice canyon:sinkholes";"subartic:frozen:frigid:arid:hot"
154;"Asterion Enigma Hestian";2119;4,2;0,641;1,87;"rainforest";"frigid:subartic:windy:superheated"
155;"Orion's Gaze II";1658;9,17;1,148;2;"acid pool:sea:urban:vine";"windy:artificial temperate:temperate:tropical:rocky:arid"
156;"Orion's Gaze XXIII";1658;1,01;1,381;0,9;"cliff:jungle:fungus forest";"tropical:artificial temperate:hot"
157;"Orion's Gaze XVII";1658;2,52;0,956;1,38;"ice canyon";"frigid"
158;"Ignitionara Zeta";1168;8,8;0,968;2,09;"grassy hill:ice cave:rocky island:bog:cliff:rocky desert";"windy:arid:temperate:artificial temperate:tropical:subartic"
159;"Starlight Shroud Nymphios";5927;1,85;1,064;xx;"cave:cityscape";"subartic:frigid:artic"
160;"Kraz Prime";6114;3;0,94;1,47;"reef:rocky canyon";"artificial temperate:windy"
161;"Kraz Septimal";6114;3,84;1,013;1,56;"ocean:urban:rocky island:savanna:jungle:cave";"arid:artificial temperate:tropical:rocky:humid:frigid"
162;"Illyrian VII";3568;8,55;1,028;2,03;"savanna:swamp";"subartic:tropical"
163;"Illyrian XXIII";3568;4,5;1,243;1,54;"rainforest:hill";"superheated"
164;"Alula Borealis Iota";8478;3,57;0,818;1,63;"ice canyon:plain:hill:swamp";"artificial temperate:subartic:hot:superheated:tropical:artic"
165;"Tureis IX";1903;3,17;0,657;1,69;"hill";"artic:rocky:frigid"
166;"Cujam Gamma";3221;1,14;1,344;0,95;"island:fungus forest:mountain:rocky island:lakes";"artic:frozen:hot:artificial temperate"
167;"Cujam Tau";3221;0,75;0,892;0,94;"rainforest:city";"rocky:artic:tropical:windy:subartic:hot"
168;"Cujam Alpha";3221;3,53;0,941;1,55;"island";"artic:frigid"
169;"Cujam Mu";3221;6,65;0,774;2,05;"rocky desert:plateau:hill:lava river:jungle";"subartic:superheated:arid:windy"
170;"Matar Asclepian";741;7,95;0,805;2,15;"island";"frozen:superheated:tropical:frigid"
171;"Matar Selenean";741;3,28;1,493;1,3;"fungus forest:sinkholes:lakes:rocky island:plateau";"hot:temperate:rocky"
172;"Angetenar XXIII";984;7,8;1,103;1,92;"valley:lakes:savanna";"rocky:temperate"
173;"Etherios Helios";9326;1,83;0,972;1,23;"ice cave:cave:barren:canyons:plateau:savanna:tundra";"frozen:artificial temperate:subartic:windy:artic:arid"
174;"Etherionara IV";7985;0,81;0,755;1,02;"forest:verdant:plain:lakes:cityscape";"frigid:frozen:tropical"
175;"Zephyriax Janusian";550;1,97;1,266;1,16;"cliff:volcano:valley";"artic:superheated"
176;"Algorab XV";9114;7,17;0,779;2,1;"mountain:hill:forest:island";"frozen:artic:windy:temperate"
177;"Algorab IV";9114;2,11;0,849;1,35;"rocky canyon:glacier:city";"frigid:windy:artificial temperate:subartic"
178;"Algorab XIV";9114;1,42;1,134;1,08;"plain:city:savanna:river:cave:cityscape:desert:volcano";"rocky:subartic:humid:tropical:hot"
179;"Hannya's Silence Alpha";4715;8,4;1,247;1,89;"cave:island:verdant:rock arche";"windy:tropical:rocky:artificial temperate:humid:frozen:temperate"
180;"Koi Horizon Astraeos";3267;0,88;1,103;0,93;"field:grassy hill:jungle:lakes:cliff";"artificial temperate:tropical:subartic:arid"
181;"Koi Horizon Cerberian";3267;1,82;1,236;1,14;"plateau:island:canyons:plain:rocky desert:field";"temperate:arid:humid:rocky:superheated"
182;"Ankh Seraph Dionysios";9737;0,94;1,329;0,89;"ash:toxic cloudsea:tundra:canyons:volcano";"humid:hot:frozen:artificial temperate"
183;"Beemim Aphroditos";8879;3,27;0,897;1,54;"rocky canyon:jungle:acid pool:rocky island:lava river:plateau";"tropical:artic:rocky:superheated:arid:subartic"
184;"Asterope Nu";5726;0,88;1,286;0,88;"river";"tropical:windy:humid:arid:subartic"
185;"Acamar Pi";7134;5,68;1,105;1,73;"ice cave:rocky canyon:tundra";"temperate:frozen:artic:hot"
186;"Acamar Beta";9856;1,68;1,632;1,01;"cave:mountain";"rocky:tropical:frozen"
187;"Acamar Xi";9856;4,22;1,32;1,47;"cave";"tropical:subartic:artic"
188;"Scarabian Horizon Eosian";3744;0,93;1,079;0,95;"sea";"frigid"
189;"Yūgen Shadows Nu";1769;7,76;1,058;1,94;"plateau:river:cave";"windy:artic:temperate"
190;"Arcadian Whispers Nonal";9979;2,33;0,629;1,55;"valley:scrubland:rock arche";"windy:arid:subartic"
191;"Arcadian Whispers Undecimal";9979;1,31;1,27;1,01;"jungle:vine";"temperate:frigid:humid"
192;"Arcadian Whispers Tertial";9979;2,33;1,215;1,24;"city:hill:island:jungle:verdant";"humid:superheated:temperate:artificial temperate:tropical:arid"
193;"Kagayaki Celestial Wu";8480;2,07;0,833;1,35;"cave:ice canyon:acid pool";"rocky:artic:windy"
194;"Starlight Haven Alpha";3573;6,55;1,001;1,87;"desert:vine:urban:field:city";"hot:frozen:tropical:frigid"
195;"Kaze Horizon Ba";9464;1,18;1,509;0,92;"city:plateau";"artic"
196;"Kaze Horizon Yi";9464;2,86;0,92;1,46;"bog:savanna:field:river:desert";"temperate:superheated:artificial temperate:windy"
197;"Citadelle Hecatean";5313;2,26;0,961;1,33;"ice canyon:bog:ocean:valley:urban:acid pool";"humid:arid:subartic:rocky:windy"
198;"Citadelle Museios";5313;2,91;1,355;1,29;"savanna:hill:jungle:island";"rocky:superheated:frigid:hot"
199;"Citadelle Apollox";5313;1,25;1,261;1;"glacier:island:rocky canyon:tundra:valley";"humid:rocky:windy:artificial temperate:artic:temperate:hot"
200;"Enif Hecatean";6781;6,91;0,441;2,5;"cave";"hot:humid"
201;"Kornephoros San";4639;4,97;1,358;1,54;"hill";"artificial temperate"
202;"Kornephoros Liu";4639;4,86;1,603;1,45;"hill:reef:rocky canyon";"subartic:frigid:temperate:artic"
203;"Quasarionix Liu";4657;6,04;1,082;1,77;"barren:jungle";"superheated:arid:artificial temperate:frigid:hot"
204;"Quasarionix Er";4657;7,56;1,163;1,87;"plain:plateau";"frigid"
205;"Galaxium Zephyrian";3564;1,08;1,122;0,99;"ocean";"hot:arid:artificial temperate:windy:artic:frigid"
206;"Sakura Mirage Jiu";7455;1,5;1,578;0,98;"desert:island:plateau:swamp";"artificial temperate:rocky:superheated:temperate:humid"
207;"Gomeisa Museios";1081;6,07;0,91;1,88;"grassland:rocky desert:desert";"hot:humid"
208;"Gomeisa Hadean";1081;1,66;1,11;1,14;"hill";"windy:artic:frozen"
209;"Gomeisa Oranos";1081;0,45;0,971;0,77;"verdant:savanna:rock arche:vine:jungle";"rocky:humid:superheated"
210;"Ombraflux Lambda";4429;0,35;0,771;0,77;"vine:barren:canyons:desert:scrubland:bog:urban:ocean";"hot:subartic:superheated:windy:arid:tropical"
211;"Ombraflux Psi";4429;4,18;1,446;1,42;"vine:jungle:verdant:savanna:plateau:sea:desert:volcano";"subartic:frigid:tropical:frozen:hot:arid:artificial temperate"
212;"Ombraflux Zeta";4429;2,14;1,318;1,18;"river";"arid:artificial temperate:artic"
213;"Lunarisol IX";2391;5,04;1,205;1,61;"cityscape:plateau";"hot:superheated:artic:windy:arid:tropical"
214;"Kōri Artemian";6661;0,46;xx;0,72;"plateau";"subartic"
215;"Quantum Radiance San";8641;3,77;1,125;1,5;"city:bog:lakes";"artic:rocky:frozen:humid"
216;"Quantum Radiance Si";8641;2,54;1,151;1,3;"ice cave:cityscape:plain:island:city:reef";"frigid:superheated:rocky:temperate:windy"
217;"Maia Mu";8603;3,88;0,903;1,63;"desert:cave";"arid:artificial temperate"
218;"Maia Alpha";8603;4,97;0,762;1,87;"scrubland";"arid:superheated:subartic:tropical:artic"
219;"Titanium Quasar Chi";3420;0,63;0,929;xx;"ash:ocean:reef";"superheated:frozen:windy:rocky:subartic:artificial temperate"
220;"Titanium Quasar Theta";3420;8,04;0,908;2,07;"plain";"frigid"
221;"Menkalinan Shi";1539;2,19;1,116;1,25;"mountain:jungle:cave:fungus forest";"humid:tropical:frigid:artic:subartic:windy"
222;"Cacophonic Murmurs Alpha";4974;0,91;0,798;1,04;"field:sea";"rocky:tropical"
223;"Baekdu IX";7156;7,18;1,184;1,82;"urban";"rocky:temperate:frigid"
224;"Baekdu IV";7156;1,68;1,142;1,14;"city";"tropical"
225;"Baekdu XIII";7156;4,1;0,674;1,83;"canyons:lakes";"artificial temperate:frigid"
226;"Koit Orphean";3506;2,62;0,902;1,43;"river:rocky island:grassland:verdant:glacier";"frozen:humid:rocky"
227;"Nefertiti's Beacon II";8533;2,13;1,242;1,2;"city";"humid:tropical:arid:windy:subartic"
228;"Nefertiti's Beacon XII";8533;9,51;0,766;2,32;"urban:cave:grassy hill:acid pool";"artificial temperate:artic:frozen:arid:hot"
229;"Rastaban Septimal";6695;2,29;1,315;xx;"forest:barren:rocky canyon:bog:island:rock arche:rainforest";"frigid:artic:tropical:subartic:arid:temperate:rocky"
